title,text,url,date,source,content_hash,scraped_at,branch
L'Europe boursière ouvre sur une note hésitante vendredi,"Les principales Bourses européennes évoluent sur une note prudente vendredi en début de séance, vers la fin d'une semaine marquée par les réunions de certaines des banques centrales les plus importantes au monde. À Paris, le CAC 40 gagne 0,49% à 7.893,14 points vers 07h16 GMT. À Francfort, le Dax avance de 0,07% et à Londres, le FTSE 100 grappille 0,03%. L'indice EuroStoxx 50 avance de 0,12%, mais le FTSEurofirst 300 recule en revanche de 0,02% et le Stoxx 600 de 0,05%. Les Bourses entament la dernière séance de la semaine sur une note plutôt calme, les investisseurs assimilant l'avalanche de décisions prises ces derniers jours en matière de politique monétaire, notamment la reprise des baisses de taux par la Réserve fédérale américaine (Fed), qui a contribué à soutenir le moral et permis d'atteindre de nouveaux records à la Bourse de New York.",https://boursenews.ma/article/actualite/Les-Bourses-europeennes-evoluent-sur-une-note-prudente-vendredi,2025-09-21 21:25:45.190693,Boursenews,9449746cf42e55b6e895dfaa2b7b6fd8,2025-09-21 21:25:45,asset management
Taqa Morocco : Bénéfices en retrait de 17% au premier semestre 2025,"TAQA Morocco a franchi une étape importante de sa stratégie de diversification avec sa transformation vers un modèle intégré multi-métiers axé principalement sur les secteurs de l’eau et des énergies bas carbone. Une évolution du business model qui permet à l’entreprise d’accompagner durablement le développement stratégique du Royaume en matière de transition énergétique et de sécurité hydrique, tout en renforçant sa performance d’opérateur dans les meilleurs standards d’excellence industrielle. À fin juin 2025, le taux de disponibilité global des Unités 1 à 6 s’établit à 91,7%, contre 94,1% au premier semestre 2024. Cette évolution reflète la réalisation du plan de maintenance, incluant une révision mineure planifiée de 25 jours sur l’Unité 6, ainsi que des inspections sur les Unités 1, 3 et 5. TENDANCE BAISSIÈRE DU PRIX DU CHARBON A L’INTERNATIONAL ET DE LA PARITÉ USD/MAD Au cours du premier semestre 2025, l’activité de TAQA Morocco a évolué dans un environnement marqué par la baisse des cours du charbon sur le marché international, passant de 113 à 108 dollars US/tonne, ainsi que l’évolution défavorable de la parité moyenne USD/MAD comparativement à 2024. ÉVOLUTION DU CHIFFRE D’AFFAIRES IMPACTÉE PAR LA DIMINUTION DES FRAIS D’ÉNERGIE Le chiffre d’affaires consolidé du semestre s’établit à 5 379 MDH, en retrait de 4,8% par rapport au premier semestre 2024. Cette baisse s’explique principalement par la diminution des frais d’énergie consécutive à la baisse des cours du charbon sur le marché international. Le résultat d’exploitation ressort à 1 254 MDH, comparé à 1 417 MDH au 30 juin 2024, suite à la réalisation de la révision mineure planifiée de l’Unité 6 ainsi que l’évolution défavorable du taux de change USD/MAD. Le résultat net part du Groupe s’élève à 437 MDH, contre 526 MDH au 30 juin 2024 (-17%). STRUCTURE FINANCIÈRE SOLIDE POUR ACCOMPAGNER LES PROJETS DE DÉVELOPPEMENT Grâce à une gestion rigoureuse des flux de trésorerie et de l’endettement, TAQA Morocco continue de renforcer sa solidité financière. Au terme du premier semestre 2025, le gearing s’établit à 38% contre 44% au 30 juin 2024. COMPTES SOCIAUX Le chiffre d’affaires social de TAQA Morocco s’élève à 3 039 MDH, contre 3 108 MDH au 30 juin 2024. Le résultat net social ressort à 161 MDH, contre 240 MDH au premier semestre 2024, suite à l’évolution défavorable de la parité USD/MAD. PERSPECTIVES TAQA Morocco renforce la mise en œuvre de sa stratégie de diversification en élargissant son portefeuille d’activités autour de solutions bas carbone, en ligne avec les priorités nationales en matière de transition énergétique et de gestion durable des ressources en eau. Dans cette dynamique, le Groupe évolue vers un modèle intégré multi-métiers axé sur l’eau et les énergies bas carbone, avec le déploiement progressif de quatre pôles de développement : le dessalement, les énergies renouvelables, le gaz naturel, ainsi que le transport d’eau et d’énergie bas carbone, en lien avec les projets issus du partenariat stratégique conclu le 19 mai 2025.",https://boursenews.ma/article/marches/TQM-RNPG-S1-2025,2025-09-21 21:25:47.902620,Boursenews,2a946f1d0165ac5382e129eb70c015a8,2025-09-21 21:25:47,corporate finance; asset management
HPS cède son activité Testing (Acpqualife),"HPS, l'un des principaux fournisseurs mondiaux de logiciels et de solutions de paiement, annonce avoir signé un accord portant sur la cession, sous conditions suspensives, de son activité Testing, incluant la dénomination Acpqualife, à Synanto Services SAS. Cette cession s’inscrit dans le cadre du plan stratégique AccelR8 du Groupe, et vise à concentrer les ressources et investissements du Groupe HPS sur son cœur de métier, les solutions de paiement, et à renforcer sa trajectoire de croissance. L’activité Testing, dont les perspectives de croissance et de marge étaient sensiblement inférieures à celles des autres activités du Groupe, trouvera au sein du Groupe Synanto un environnement plus favorable à son développement. Dans le cadre de cette opération, l’ensemble des contrats clients et fournisseurs rattachés à l’activité Testing, la dénomination Acpqualife, ainsi que les collaborateurs concernés seront transférés à Synanto, assurant la continuité des activités et offrant de nouvelles perspectives d’évolution aux équipes. Les opérations en France liées aux autres activités du Groupe restent inchangées et continueront à être renforcées, conformément au plan de croissance AccelR8. Synanto est une Entreprise de Services Numériques (ESN) française, en forte croissance, qui compte plus de 250 collaborateurs et réalise un chiffre d’affaires annuel de 25 millions d’euros. Son modèle de fonctionnement décentralisé et entrepreneurial, basé sur des agences de proximité réparties dans plusieurs régions françaises ainsi qu’au Luxembourg et en Tunisie, favorise l’autonomie, la proximité client et la valorisation des talents. Synanto intervient depuis plus de 15 ans auprès de clients de référence dans des secteurs variés, avec une expertise dominante dans la Banque, la Finance et l’Assurance. Abdeslam Smaili Alaoui, CEO de HPS, déclare : « Cette cession constitue une étape importante dans la mise en œuvre de notre plan stratégique AccelR8. Elle nous permet de renforcer notre recentrage sur les paiements, tout en offrant aux collaborateurs de l’activité Testing de nouvelles perspectives au sein d’un acteur qui place les talents et la proximité au cœur de son modèle. » lien Vallon, Président de Synanto, ajoute : « Nous sommes heureux d’accueillir les équipes Testing d’Acpqualife. Leur expertise complète parfaitement nos savoir-faire et contribuera à renforcer notre positionnement dans le secteur Banque, Finance et Assurance. Chez Synanto, nous croyons en la proximité et en l’autonomie des agences, et nous avons à cœur d’accompagner ces nouveaux talents dans leur développement. » Norton Rose Fulbright agit en qualité de conseil juridique de HPS. Les termes de l'acquisition ne sont pas divulgués. La transaction est soumise aux conditions réglementaires habituelles et devrait être finalisée dans les prochains mois.",https://boursenews.ma/article/marches/hps-cession-acpqualife-testing,2025-09-21 21:25:58.578994,Boursenews,ccdd6bc267b5f33e7fbd65e53b684c49,2025-09-21 21:25:58,corporate finance
Stokvis Nord Afrique résorbe ses pertes au premier semestre,"Le groupe signe une nette amélioration de ses performances consolidées, portée par la reprise de l’activité et l’obtention de nouveaux marchés stratégiques. - Chiffre d’affaires consolidé : 107,6 MDH, en progression de 57 % par rapport aux 68,6 MDH enregistrés un an plus tôt. - Résultat d’exploitation consolidé : 19,7 MDH, contre une perte de -14,3 MDH au 1er semestre 2024, soit une amélioration spectaculaire de +238 %. - Résultat net consolidé : -0,3 MDH, en forte réduction par rapport à la perte de -24 MDH l’an dernier, soit une amélioration de 99 %. Faits marquants Le secteur BTP poursuit une croissance soutenue, appuyée par des investissements conséquents en équipements et par l’accélération des projets d’infrastructure. Dans ce contexte, Stokvis Nord Afrique a remporté plusieurs marchés stratégiques, renforçant son rôle de fournisseur de référence en équipements et engins pour le BTP et les mines. Perspectives: Fort de cette dynamique de redressement, le Groupe poursuit sa stratégie de croissance rentable et bénéficie d’un carnet de commandes renforcé. Les nouveaux marchés remportés devraient produire leurs effets au cours des prochains trimestres et consolider la trajectoire de performance.",https://boursenews.ma/article/marches/Stokvis-resultats-S1-2025,2025-09-21 21:26:06.830660,Boursenews,e2ee2d57c0dfa3f699a4c915063346cf,2025-09-21 21:26:06,corporate finance
"BCP : Les bénéfices bondissent de 12,8% au premier semestre 2025","Dans un environnement national favorable, l'économie marocaine a poursuivi sa bonne performance au cours du premier semestre 2025. Celle-ci a été soutenue à la fois par le rebond de la valeur ajoutée agricole et par la croissance de la valeur ajoutée non agricole. A l'international, l'économie reste impactée par les tensions commerciales et géopolitiques. Dans ce contexte, le Groupe Banque Centrale Populaire, fidèle à ses valeurs de performance et de proximité avec ses clients, a poursuivi l'accompagnement et l'encadrement de sa clientèle locale et internationale dans l'ensemble de ses pays d'implantation. Au terme du premier semestre 2025, les ressources consolidées du Groupe ont progressé de 5,5% par rapport à la même période de 2024, atteignant 393,9 milliards de Dirhams. Pour leur part, les crédits bruts à la clientèle se sont renforcés de 2,3% par rapport à fin juin 2024 pour se situer à 319,2 milliards de Dirhams. Par ailleurs, le Produit Net Bancaire consolidé a progressé de 8,4% pour s'établir à 13,9 milliards de Dirhams, tiré par l'appréciation du Core Banking Business (Marge d'intérêts + Marge sur Commissions) de 3,7% à 9,5 milliards de Dirhams, ainsi que la poursuite de la performance positive du résultat des activités de marché qui s'améliore de 20,2% à 3,9 milliards de Dirhams. Les frais généraux du Groupe affichent une légère évolution de 1,8% à fin juin 2025, se stabilisant à 5,7 milliards de Dirhams. Le coefficient d'exploitation poursuit ainsi son allégement à 40,7%, soit une amélioration de 2,7 points sur une année glissante. Fort de ces réalisations, le Groupe affiche un Résultat Net Consolidé en amélioration de 16,8% à 3,5 milliards de Dirhams. Le Résultat Net Part du Groupe s'améliore pour sa part de 12,8% à 2,9 milliards de Dirhams, marquant un semestre de performance en phase avec les objectifs du Groupe. Suivant la tendance du Groupe, l'activité de collecte de dépôts au niveau de la Banque au Maroc affiche une progression de 5,9% en glissement annuel, atteignant 315,8 milliards de Dirhams à fin juin 2025; tirée par le bon développement des ressources des particuliers résidents ainsi que les dépôts des Marocains du Monde. Dans ce sens, la banque continue d'optimiser la structure de ses ressources, avec une part des dépôts non rémunérés qui atteint 78,4% à fin juin 2025, contre 76,8% une année auparavant. Pour leur part, les crédits ont progressé de 1,3%, sous l'effet de l'amélioration des crédits à l'équipement combiné à un recul des crédits de trésorerie, dans un contexte de baisse des prix des matières premières à l'international. Le Produit Net Bancaire de la Banque au Maroc enregistre ainsi une hausse de 18% à fin juin 2025, porté par la marge d'intérêts qui évolue de 4%, en plus de l'amélioration du résultat des activités de marché de 34%, en lien avec l'appréciation du résultat sur le portefeuille titres de transaction. Les filiales, un relais de croissance majeur Reflétant la politique de diversification du Groupe BCP, plus de 47% du Produit Net Bancaire consolidé à fin juin 2025 a été généré par ses filiales au Maroc et à l'International. Les filiales de la Banque de l'international ont contribué à hauteur de 22,1% au Produit Net Bancaire global du Groupe, dans un contexte marqué par un renchérissement des coûts de financement. La contribution des filiales métiers au Maroc s'est établie, pour sa part, à 25,2%, reflétant une amélioration du Produit Net Bancaire agrégé de ces filiales de 11,7% par rapport à fin juin 2024. Cette amélioration est principalement liée à la bonne dynamique de l'activité d'intermédiation des sociétés de financement spécialisées, ainsi que le développement de l'activité des filiales de banque d'investissement. Stabilisation du coût du risque Au premier semestre 2025, le coût du risque affiche un léger recul de 0,2% à 2,7 milliards de Dirhams, reflétant l'effort de recouvrement soutenu du Groupe tout en maintenant sa politique de provisionnement proactive. Par ailleurs, le Groupe maintient une assiette financière solide, illustrée par le fonds de soutien spécifique au modèle coopératif du Groupe BCP, dont l'encours s'est apprécié de 7,2% sur une année à 4,2 milliards de Dirhams. D'autre part, la Provision pour Risques Généraux (PRG) se situe à 7,1 milliards de Dirhams, renforçant la solidité financière de la banque.",https://boursenews.ma/article/marches/BCP-S1-RNPG,2025-09-21 21:26:22.441731,Boursenews,ee329055970de259db6634f502882569,2025-09-21 21:26:22,corporate finance; asset management
AXA et STELLANTIS finalisent la transaction AXA Crédit,"Stellantis et AXA annoncent aujourd'hui la finalisation de l'acquisition auprès d'AXA Assurance Maroc de 80 % des actions d'AXA Crédit, sa filiale de crédit à la consommation. L'acquisition a été réalisée par Fidis S.p.A., une société détenue à 100% par le groupe Stellantis. Dans le cadre de cette opération, AXA Assurance Maroc et Fidis S.p.A. concluent un partenariat privilégié pour la distribution d'assurances, en vertu duquel AXA Crédit distribuera les produits AXA auprès de ses clients existants et futurs. Andrea Faina, Directeur de Stellantis FSOA Financial Services et CEO de Fidis S.p.A. : « En acquérant la majorité d'AXA Crédit, Stellantis met en place sa propre entité de financement au Maroc, un marché en pleine croissance. Ce partenariat avec AXA Assurance Maroc offrira une solution globale intégrée combinant l'approvisionnement en véhicules, les services financiers et l'assurance, favorisant la fidélisation de nos clients et soutenant nos ambitions commerciales dans le pays ». Gilles Fromageot, Directeur Général d'AXA Assurance Maroc & Afrique Francophone a déclaré à cette occasion : « Aujourd'hui, un nouveau chapitre s'ouvre pour AXA Crédit, rendu possible par le travail de ses équipes qui ont su construire une position unique sur le marché du crédit pour les consommateurs. A travers cette opération, nous sommes honorés de nous associer à Stellantis, acteur industriel majeur et investisseur clé dans l'économie marocaine. Pour AXA Assurance Maroc, qui conservera une participation de 20 % dans AXA Crédit, ce partenariat ouvre également de nouvelles opportunités de collaboration avec Stellantis sur le marché africain. La décision de transférer le contrôle de sa filiale de crédit s'inscrit dans la stratégie d'AXA Assurance Maroc et du Groupe AXA de se concentrer sur les activités d'assurance, tout en collaborant avec des experts pour les activités non assurantielles ».",https://boursenews.ma/article/actualite/AXA-et-STELLANTIS-finalisent-la-transaction-AXA-Credit,2025-09-21 21:26:41.991602,Boursenews,be5cdfdeb01e08000e18732eee57dc36,2025-09-21 21:26:42,corporate finance
Afric Industries: Résultat net en hausse de 35% au premier semestre,"Au premier semstre 2025, le chiffre d’affaires ressort à 21,32 millions de dirhams (MDH), en hausse de 7% comparé à la même période un an auparavant, moyennant une conjoncture stable en Papiers Abrasifs et une demande accrue en Accessoires d'Aluminium. Le résultat d’exploitation est en progression de 29% à fin juin 2025, passant de 3,847 MDH à 4,956 MDH et soutenu par l'augmentation des ventes et l'amélioration de la marge d'intervention. Le résultat net au 30.06.2025 enregistre ainsi une amélioration de 35% par rapport à la même période de l’année 2024 (3,171 MDH au premier semestre 2025 contre 2,348 MDH au 30 juin 2024). PRÉVISIONS 2025 AFRIC INDUSTRIES table sur une amélioration de son chiffre d'affaires et de son résultat d'exploitation. FAIT MARQUANT 2025 Après avoir successivement occupé les postes de Directeur Technique, puis de Directeur Général Délégué, M. Mohammed Mehdi SAKKAT a été nommé par le Conseil d'Administration, Directeur Général de la Société AFRIC INDUSTRIES à compter du 1er octobre 2025.",https://boursenews.ma/article/marches/Afric-Industries-resultats-financiers-S1-2025,2025-09-21 21:26:44.693021,Boursenews,3e53599ea669d1b3c0ea48781dc7882b,2025-09-21 21:26:44,corporate finance
L'Europe ouvre en hausse avant une semaine riche en décisions de politique monétaire,"Les principales Bourses européennes progressent en début de séance lundi alors que les investisseurs se concentrent notamment sur la décision de politique monétaire de la Réserve fédérale (Fed) mercredi. À Paris, le CAC 40 se hisse de 0,46% à 7.861,41 points vers 07h18 GMT. Le Dax à Francfort se renforce de 0,47%, tandis que le FTSE à Londres progresse de 0,12%. L'indice paneuropéen FTSEurofirst 300 prend 0,36%, l'EuroStoxx 50 gagne 0,46% et le Stoxx 600 croît de 0,25%. Les investisseurs ne semblent pas s'inquiéter lundi de la dégradation de la note de crédit à long terme de la France à A+, contre AA- précédemment, par Fitch vendredi.",https://boursenews.ma/article/actualite/Les-bourses-europeennes-ouvrent-dans-le-vert-ce-lundi-avant-la-reunion-de-la-politique-monetaire-de-la-fed-cette-semaine,2025-09-21 21:26:57.826275,Boursenews,cbbd1704355056c181e9a022e3b95957,2025-09-21 21:26:57,corporate finance; asset management
Conseil de Bank Al-Maghrib: Un deuxième statu quo monétaire en perspective (BKGR),"À quelques jours de la réunion du 23 septembre 2025, les signaux convergent vers une décision prudente de Bank Al-Maghrib (BAM). Selon une note d’analyse de BMCE Capital Global Research (BKGR), la Banque centrale pourrait maintenir inchangé son taux directeur, soit un deuxième statu quo consécutif cette année. Selon BKGR, l’économie marocaine affiche des performances robustes. Après une hausse de 4,8% au premier trimestre et de 4,6% au deuxième, la croissance devrait se situer autour de 4,4% au troisième trimestre. Cette dynamique est portée par les services, la construction, les industries extractives et l’agriculture, et repose largement sur une demande intérieure soutenue. BAM a d’ailleurs relevé en juin ses prévisions de croissance pour 2025 à 4,6%, avant une consolidation à 4,4% en 2026. L’inflation reste sous contrôle : +0,5% en glissement annuel à fin juillet, avec une inflation sous-jacente de 0,9%. Toutefois, sa trajectoire demeure dépendante de plusieurs aléas : cours mondiaux des matières premières, tensions géopolitiques (Ukraine, Moyen-Orient), nouvelle politique commerciale américaine, ainsi que la volatilité des récoltes agricoles. Le déficit budgétaire atteignait -54,1 Mds de DH fin août, contre -32,8 Mds un an plus tôt. Néanmoins, BAM table sur une réduction progressive, à -3,9% du PIB en 2025 et -3,4% en 2026. Parallèlement, l’encours global des crédits bancaires progresse de 4,9% en un an, profitant de conditions de financement favorables depuis la baisse de 25 points de base du taux directeur en mars 2025. Attentes divergentes des investisseurs Selon, un sondage mené par BKGR auprès d’institutionnels marocains révèle des opinions partagées : - 89% jugent la politique monétaire actuelle adéquate. - 56% anticipent une nouvelle baisse de 25 points de base en septembre. - 33% visent un taux directeur de 2% d’ici fin 2025, ce qui impliquerait au moins une réduction supplémentaire d’ici décembre. Malgré la détente inflationniste, la montée des risques géopolitiques pousse BAM à rester prudente. La vigueur de la croissance et le statu quo récent de la BCE confortent ce choix. BMCE Capital privilégie donc un maintien du taux directeur lors du Conseil de septembre. “Si le sondage des investisseurs reste très partagé, nous privilégions, pour notre part, le maintien du statuquo pour notre scénario central avec une perspective baissière d’ici fin 2025”, concluent les analystes.",https://boursenews.ma/article/marches/conseil-bam-septembre-statu-quo-monetaire,2025-09-21 21:27:00.338860,Boursenews,1517b3bf94e7fc476701942d8ddc4b1e,2025-09-21 21:27:00,corporate finance; asset management
L'argent se maintient près de son pic des 14 dernières années,"L’argent s’est maintenu mardi autour de 42,7 dollars l’once , proche de ses plus hauts niveaux depuis 14 ans, alors que les investisseurs se positionnent avant la décision de politique monétaire de la Réserve fédérale américaine (Fed), attendue mercredi. Depuis le début de l’année, le métal gris affiche une progression de +39,10% , confirmant sa dynamique haussière Les marchés anticipent avec une quasi-certitude une réduction de 25 points de base des Fed funds, actuellement situés dans la fourchette de 4,25%-4,50%. Les opérateurs de marché prévoient un assouplissement cumulé d’environ 67 points de base d’ici la fin de l’année. Les attentes ont été renforcées par des indicateurs confirmant un ralentissement du marché du travail et une inflation modérée. Le président américain Donald Trump a, de son côté, intensifié la pression sur Jerome Powell, président de la Fed, en appelant à une baisse plus importante des taux afin de soutenir un marché immobilier fragilisé. Ailleurs, les banques centrales du Canada et de Chine devraient assouplir leur politique monétaire cette semaine, tandis que celles du Japon et du Royaume-Uni devraient rester stables. Sur le plan géopolitique, les négociations commerciales entre les États-Unis et la Chine en Espagne ont progressé, Trump et le président chinois Xi Jinping devant s'exprimer vendredi. Parallèlement, la demande industrielle liée au solaire, aux véhicules électriques et à l'électronique continue de resserrer le marché de l'argent physique, les contraintes d'approvisionnement soutenant les prix.",https://boursenews.ma/article/actualite/Argent-se-maintient-pres-de-ses-plus-hauts-sommets-depuis-14-ans,2025-09-21 21:27:02.139411,Boursenews,f5e5c68bee49d93f7a72c8e9aeee7f1e,2025-09-21 21:27:02,asset management; real estate
