feature,score
num,0.8240776714323179
linteret,0.5674198603994467
relevement,0.5475041291947869
detat,0.5437606551632358
periodique,0.5392080394919982
decompte,0.5379019971136637
systeme,0.5368669248679593
beneficiaire,0.5326558627224915
deuxieme,0.5269682281973113
operationnelle,0.5261029173337506
decisionnel,0.5260192516665895
numero,0.5259431232258984
dactivite,0.5257534977195176
deficitaire,0.5253131447370066
lexterieur,0.5238519833614581
meme,0.5193872516231826
dinteret,0.5184410706997093
gravimetriqu,0.5177495454569936
troisieme,0.5172860131748133
levolution,0.5167949803447498
decrochage,0.5159248927351178
telephone,0.5153669919654648
letat,0.5137849325807329
concentree,0.5136815734919702
depouillement,0.5134108248203141
budgetair,0.5126842226413411
transfere,0.5122069790055979
cout,0.5118433591463006
reseau,0.5117463061650833
numeriqu,0.5109301223283322
numerique,0.5100422100134181
releve,0.5099755499499954
lentree,0.5089538115681898
donnee,0.5088320589069404
etendu,0.5072121089752893
leconomiqu,0.5060758710096901
critere,0.5051854019035669
decroit,0.5042845565436966
socioeconomiqu,0.5027303746744105
integralite,0.5026764087949693
coordonnee,0.5021322380921582
supplementaire,0.5020303467413606
oncf,0.5017607797334053
developpement,0.500898492327928
dun,0.5003771201447049
theorique,0.5002733067643749
attractivite,0.4989591008488792
theoriqu,0.4985642775956201
lexperience,0.4980694310012268
kilometriqu,0.4977493552319069
financee,0.49764470985262443
defaillance,0.4974832961287183
specificite,0.49747769283125837
dimpot,0.4973312857595609
dactivit,0.4960177949585784
economiqu,0.49521753648278694
demographiqu,0.49517970311375614
controle,0.49501028364587957
parametre,0.4949207627789761
saturee,0.494900734285528
determinant,0.49405710839152556
specifique,0.4939510552873497
reel,0.49343962186770884
dintegration,0.49337660203989103
probleme,0.493271034784744
boursiere,0.4931120273677446
detaille,0.49305707887559314
reference,0.49273011652385507
modele,0.4923333204003445
totalite,0.49231122459134335
deleguer,0.49190843505344467
depart,0.49167975230728084
selectionnee,0.491621288444202
etant,0.4916173829608933
formalite,0.4914610981796789
devaluation,0.4913848845203353
deja,0.4907798945289132
dechange,0.4896608966746835
pret,0.48945386093096305
lacces,0.4892471509436401
affichee,0.4890498244064751
decroisser,0.48818552564286727
deplacement,0.4881284197621949
derogation,0.4878740857837905
referentiel,0.4877987569883321
concretisation,0.48755925618155616
ethiqu,0.48726561955392333
lintegralite,0.48660988028826646
previsionnel,0.48643519704788646
democratisation,0.48588549012858495
larriere,0.48570583064446804
temp,0.4857056816315187
lintermediaire,0.4856512322998485
actualisee,0.48516208107308223
credibilite,0.48498642733157354
structuree,0.4846773558566884
matiere,0.4844566680329218
renegociation,0.4844364441381128
cotee,0.48425050537557524
linefficience,0.4840584626874878
